Time (ms),Name,Value
3660,"Climber ","true"
3660,"Tilter ","true"
3660,"Dumper ","true"
3660,"Drive ","true"
3761,"DumperJag Current","0.0"
3762,"Climber position ","0.056247711181640625"
3862,"Tilter angle ","-0.002498626708984375"
3862,"Drive (left) ","0.0"
3862,"Drive (right) ","-0.0"
3862,"Range Finder ","248.90736"
3863,"DumperJag Current","0.0"
3963,"Climber ","true"
3963,"Tilter ","true"
3964,"Dumper ","true"
3964,"Drive ","true"
3964,"DumperJag Current","0.0"
4065,"Climber position ","0.056247711181640625"
4065,"Tilter angle ","-0.002498626708984375"
4065,"Drive (left) ","0.0"
4065,"Drive (right) ","-0.0"
4065,"Range Finder ","248.90736"
4065,"DumperJag Current","0.0"
4165,"DumperJag Current","0.0"
4166,"Climber ","true"
4166,"Tilter ","true"
4166,"Dumper ","true"
4166,"Drive ","true"
4266,"DumperJag Current","0.0"
4266,"Climber position ","0.056247711181640625"
4266,"Tilter angle ","-0.002498626708984375"
4267,"Drive (left) ","0.0"
4267,"Drive (right) ","-0.0"
4267,"Range Finder ","248.86668000000003"
4367,"DumperJag Current","0.0"
4368,"Climber ","true"
4368,"Tilter ","true"
4368,"Dumper ","true"
4368,"Drive ","true"
4469,"DumperJag Current","0.0"
4469,"Climber position ","0.056247711181640625"
4469,"Tilter angle ","-0.002498626708984375"
4469,"Drive (left) ","0.0"
4469,"Drive (right) ","-0.0"
4469,"Range Finder ","215.943"
4569,"DumperJag Current","0.0"
4570,"Climber ","true"
4570,"Tilter ","true"
4570,"Dumper ","true"
4570,"Drive ","true"
4671,"DumperJag Current","0.0"
4671,"Climber position ","0.056247711181640625"
4671,"Tilter angle ","-0.002498626708984375"
4671,"Drive (left) ","0.0"
4671,"Drive (right) ","-0.0"
4671,"Range Finder ","216.15996"
4772,"DumperJag Current","0.0"
4772,"Climber ","true"
4772,"Tilter ","true"
4772,"Dumper ","true"
4772,"Drive ","true"
4875,"DumperJag Current","0.0"
4875,"Climber position ","0.056247711181640625"
4875,"Tilter angle ","-0.002498626708984375"
4875,"Drive (left) ","0.0"
4876,"Drive (right) ","-0.0"
4876,"Range Finder ","248.90736"
4979,"DumperJag Current","0.0"
4979,"Climber ","true"
4979,"Tilter ","true"
4979,"Dumper ","true"
4979,"Drive ","true"
5081,"DumperJag Current","0.0"
5081,"Climber position ","0.056247711181640625"
5182,"Tilter angle ","-0.002498626708984375"
5182,"Drive (left) ","0.0"
5182,"Drive (right) ","-0.0"
5182,"Range Finder ","248.90736"
5183,"DumperJag Current","0.0"
5283,"Climber ","true"
5283,"Tilter ","true"
5283,"Dumper ","true"
5283,"Drive ","true"
5283,"DumperJag Current","0.0"
5384,"Climber position ","0.056247711181640625"
5385,"Tilter angle ","-0.002498626708984375"
5385,"Drive (left) ","0.0"
5385,"Drive (right) ","-0.0"
5385,"Range Finder ","215.98368000000002"
5385,"DumperJag Current","0.0"
5485,"DumperJag Current","0.0"
5486,"Climber ","true"
5486,"Tilter ","true"
5486,"Dumper ","true"
5486,"Drive ","true"
5587,"DumperJag Current","0.0"
5587,"Climber position ","0.056247711181640625"
5587,"Tilter angle ","-0.002498626708984375"
5587,"Drive (left) ","0.0"
5587,"Drive (right) ","-0.0"
5587,"Range Finder ","248.90736"
5688,"DumperJag Current","0.0"
5688,"Climber ","true"
5688,"Tilter ","true"
5688,"Dumper ","true"
5688,"Drive ","true"
5792,"DumperJag Current","0.0"
5792,"Climber position ","0.056247711181640625"
5792,"Tilter angle ","-0.002498626708984375"
5792,"Drive (left) ","0.0"
5792,"Drive (right) ","-0.0"
5792,"Range Finder ","248.90736"
5894,"DumperJag Current","0.0"
5894,"Climber ","true"
5894,"Tilter ","true"
5894,"Dumper ","true"
5894,"Drive ","true"
5996,"DumperJag Current","0.0"
5996,"Climber position ","0.056247711181640625"
5996,"Tilter angle ","-0.002498626708984375"
5996,"Drive (left) ","0.0"
5996,"Drive (right) ","-0.0"
5996,"Range Finder ","248.85312"
6097,"DumperJag Current","0.0"
6097,"Climber ","true"
6097,"Tilter ","true"
6097,"Dumper ","true"
6097,"Drive ","true"
6245,"DumperJag Current","0.0"
6301,"Climber position ","0.056247711181640625"
6301,"Tilter angle ","-0.002498626708984375"
6301,"Drive (left) ","0.0"
6301,"Drive (right) ","-0.0"
6301,"Range Finder ","248.85312"
6301,"DumperJag Current","0.0"
6402,"DumperJag Current","0.0"
6402,"Climber ","true"
6402,"Tilter ","true"
6402,"Dumper ","true"
6402,"Drive ","true"
6504,"Climber position ","0.056247711181640625"
6505,"Tilter angle ","-0.002498626708984375"
6505,"Drive (left) ","0.0"
6505,"Drive (right) ","-0.0"
6505,"Range Finder ","248.86668000000003"
6505,"DumperJag Current","0.0"
6604,"DumperJag Current","0.0"
6604,"Climber ","true"
6605,"Tilter ","true"
6605,"Dumper ","true"
6605,"Drive ","true"
6705,"DumperJag Current","0.0"
6706,"Climber position ","0.056247711181640625"
6706,"Tilter angle ","-0.002498626708984375"
6706,"Drive (left) ","0.0"
6706,"Drive (right) ","-0.0"
6706,"Range Finder ","215.80739999999997"
6807,"DumperJag Current","0.0"
6808,"Climber ","true"
6808,"Tilter ","true"
6808,"Dumper ","true"
6808,"Drive ","true"
7074,"DumperJag Current","0.0"
7074,"Climber position ","0.056247711181640625"
7074,"Tilter angle ","-0.002498626708984375"
7074,"Drive (left) ","0.0"
7074,"Drive (right) ","-0.0"
7074,"Range Finder ","215.80739999999997"
7074,"DumperJag Current","0.0"
7074,"Climber ","true"
7074,"Tilter ","true"
7074,"Dumper ","true"
7075,"Drive ","true"
7110,"DumperJag Current","0.0"
7110,"Climber position ","0.056247711181640625"
7110,"Tilter angle ","-0.002498626708984375"
7110,"Drive (left) ","0.0"
7110,"Drive (right) ","-0.0"
7110,"Range Finder ","216.15996"
7210,"DumperJag Current","0.0"
7210,"Climber ","true"
7210,"Tilter ","true"
7210,"Dumper ","true"
7210,"Drive ","true"
7316,"DumperJag Current","0.0"
7316,"Climber position ","0.056247711181640625"
7316,"Tilter angle ","-0.002498626708984375"
7316,"Drive (left) ","0.0"
7316,"Drive (right) ","-0.0"
7417,"Range Finder ","248.90736"
7417,"DumperJag Current","0.0"
7417,"Climber ","true"
7418,"Tilter ","true"
7418,"Dumper ","true"
7418,"Drive ","true"
7518,"DumperJag Current","0.0"
7620,"Climber position ","0.056247711181640625"
7620,"Tilter angle ","-0.002498626708984375"
7621,"Drive (left) ","0.0"
7621,"Drive (right) ","-0.0"
7621,"Range Finder ","248.90736"
7621,"DumperJag Current","0.0"
7721,"Climber ","true"
7721,"Tilter ","true"
7721,"Dumper ","true"
7721,"Drive ","true"
7721,"DumperJag Current","0.0"
7823,"Climber position ","0.056247711181640625"
7823,"Tilter angle ","-0.002498626708984375"
7823,"Drive (left) ","0.0"
7823,"Drive (right) ","-0.0"
7823,"Range Finder ","248.86668000000003"
7823,"DumperJag Current","0.0"
7924,"DumperJag Current","0.0"
7924,"Climber ","true"
7924,"Tilter ","true"
7924,"Dumper ","true"
7924,"Drive ","true"
8024,"DumperJag Current","0.0"
8025,"Climber position ","0.056247711181640625"
8025,"Tilter angle ","-0.002498626708984375"
8025,"Drive (left) ","0.0"
8025,"Drive (right) ","-0.0"
8025,"Range Finder ","248.85312"
8125,"DumperJag Current","0.0"
8125,"Climber ","true"
8125,"Tilter ","true"
8125,"Dumper ","true"
8125,"Drive ","true"
8226,"DumperJag Current","0.0"
8226,"Climber position ","0.056247711181640625"
8226,"Tilter angle ","-0.002498626708984375"
8226,"Drive (left) ","0.0"
8226,"Drive (right) ","-0.0"
8226,"Range Finder ","248.90736"
8327,"DumperJag Current","0.0"
8327,"Climber ","true"
8327,"Tilter ","true"
8327,"Dumper ","true"
8327,"Drive ","true"
8429,"DumperJag Current","0.0"
8429,"Climber position ","0.056247711181640625"
8429,"Tilter angle ","-0.002498626708984375"
8429,"Drive (left) ","0.0"
8429,"Drive (right) ","-0.0"
8429,"Range Finder ","248.90736"
8529,"DumperJag Current","0.0"
8529,"Climber ","true"
8529,"Tilter ","true"
8530,"Dumper ","true"
8530,"Drive ","true"
8631,"DumperJag Current","0.0"
8631,"Climber position ","0.056247711181640625"
8631,"Tilter angle ","-0.002498626708984375"
8631,"Drive (left) ","0.0"
8734,"Drive (right) ","-0.0"
8735,"Range Finder ","248.90736"
8735,"DumperJag Current","0.0"
8837,"Climber ","true"
8837,"Tilter ","true"
8837,"Dumper ","true"
8837,"Drive ","true"
8837,"DumperJag Current","0.0"
8938,"Climber position ","0.056247711181640625"
8938,"Tilter angle ","-0.002498626708984375"
8938,"Drive (left) ","0.0"
8938,"Drive (right) ","-0.0"
8938,"Range Finder ","248.90736"
8939,"DumperJag Current","0.0"
9040,"DumperJag Current","0.0"
9040,"Climber ","true"
9040,"Tilter ","true"
9040,"Dumper ","true"
9040,"Drive ","true"
9141,"DumperJag Current","0.0"
9141,"Climber position ","0.056247711181640625"
9141,"Tilter angle ","-0.002498626708984375"
9142,"Drive (left) ","0.0"
9142,"Drive (right) ","-0.0"
9142,"Range Finder ","248.90736"
9242,"DumperJag Current","0.0"
9242,"Climber ","true"
9242,"Tilter ","true"
9242,"Dumper ","true"
9242,"Drive ","true"
9343,"DumperJag Current","0.0"
9343,"Climber position ","0.056247711181640625"
9343,"Tilter angle ","-0.002498626708984375"
9343,"Drive (left) ","0.0"
9343,"Drive (right) ","-0.0"
9343,"Range Finder ","248.90736"
9444,"DumperJag Current","0.0"
9444,"Climber ","true"
9444,"Tilter ","true"
9444,"Dumper ","true"
9444,"Drive ","true"
9545,"DumperJag Current","0.0"
9545,"Climber position ","0.056247711181640625"
9545,"Tilter angle ","-0.002498626708984375"
9545,"Drive (left) ","0.0"
9545,"Drive (right) ","-0.0"
9545,"Range Finder ","248.90736"
9646,"DumperJag Current","0.0"
9646,"Climber ","true"
9646,"Tilter ","true"
9646,"Dumper ","true"
9646,"Drive ","true"
9748,"DumperJag Current","0.0"
9748,"Climber position ","0.056247711181640625"
9748,"Tilter angle ","-0.002498626708984375"
9748,"Drive (left) ","0.0"
9748,"Drive (right) ","-0.0"
9748,"Range Finder ","248.90736"
9850,"DumperJag Current","0.0"
9851,"Climber ","true"
9851,"Tilter ","true"
9851,"Dumper ","true"
9851,"Drive ","true"
9949,"DumperJag Current","0.0"
9949,"Climber position ","0.056247711181640625"
9949,"Tilter angle ","-0.002498626708984375"
9949,"Drive (left) ","0.0"
10050,"Drive (right) ","-0.0"
10050,"Range Finder ","248.86668000000003"
10050,"DumperJag Current","0.0"
10154,"Climber ","true"
10154,"Tilter ","true"
10154,"Dumper ","true"
10154,"Drive ","true"
10154,"DumperJag Current","0.0"
10257,"Climber position ","0.056247711181640625"
10257,"Tilter angle ","-0.002498626708984375"
10257,"Drive (left) ","0.0"
10257,"Drive (right) ","-0.0"
10257,"Range Finder ","248.86668000000003"
10257,"DumperJag Current","0.0"
10358,"DumperJag Current","0.0"
10358,"Climber ","true"
10358,"Tilter ","true"
10358,"Dumper ","true"
10358,"Drive ","true"
10461,"DumperJag Current","0.0"
10461,"Climber position ","0.056247711181640625"
10461,"Tilter angle ","-0.002498626708984375"
10461,"Drive (left) ","0.0"
10461,"Drive (right) ","-0.0"
10461,"Range Finder ","248.90736"
10561,"DumperJag Current","0.0"
10561,"Climber ","true"
10561,"Tilter ","true"
10561,"Dumper ","true"
10561,"Drive ","true"
10721,"DumperJag Current","0.0"
10721,"Left Drive setpoint ","0.0"
10822,"Climber position ","0.056247711181640625"
10822,"Tilter angle ","-0.002498626708984375"
10822,"Drive (left) ","0.0"
10822,"Drive (right) ","-0.0"
10822,"Range Finder ","248.85312"
10822,"DumperJag Current","0.0"
10822,"Left Drive setpoint ","-48.808264866184004"
10924,"DumperJag Current","0.0"
11025,"DumperJag Current","0.0"
11027,"Climber ","true"
11027,"Tilter ","true"
11027,"Dumper ","true"
11027,"Drive ","true"
11127,"DumperJag Current","0.0"
11228,"DumperJag Current","0.0"
11228,"Climber position ","-0.4125022888183594"
11228,"Tilter angle ","0.0149993896484375"
11228,"Drive (left) ","-10.074938460540771"
11228,"Drive (right) ","-11.669415115865071"
11228,"Range Finder ","213.16320000000002"
11329,"DumperJag Current","0.0"
11329,"Left Drive setpoint ","-97.61652973236801"
11430,"DumperJag Current","0.0"
11430,"Climber ","true"
11430,"Tilter ","true"
11430,"Dumper ","true"
11430,"Drive ","true"
11531,"DumperJag Current","0.0"
11531,"Climber position ","-0.5625343322753906"
11531,"Tilter angle ","0.0"
11531,"Drive (left) ","-19.592390796661377"
11531,"Drive (right) ","-21.862723596700032"
11531,"Range Finder ","187.7382"
11700,"DumperJag Current","0.0"
11700,"Climber ","true"
11700,"Tilter ","true"
11700,"Dumper ","true"
11700,"Drive ","true"
11735,"DumperJag Current","0.0"
11735,"Climber position ","0.0"
11735,"Tilter angle ","0.0"
11735,"Drive (left) ","-18.03277519556681"
11735,"Drive (right) ","-24.664616351064048"
11735,"Range Finder ","182.70744"
11836,"DumperJag Current","0.0"
11836,"Climber ","true"
11836,"Tilter ","true"
11836,"Dumper ","true"
11836,"Drive ","true"
11836,"Left Drive setpoint ","-146.424794598552"
11937,"DumperJag Current","0.0"
11937,"Climber position ","0.018711090087890625"
11937,"Tilter angle ","0.0"
11937,"Drive (left) ","-29.098010194905598"
11937,"Drive (right) ","-31.933757344055174"
11937,"Range Finder ","71.29848"
12039,"DumperJag Current","0.0"
12039,"Climber ","true"
12039,"Tilter ","true"
12039,"Dumper ","true"
12039,"Drive ","true"
12140,"DumperJag Current","0.0"
12140,"Climber position ","0.018711090087890625"
12140,"Tilter angle ","0.0"
12140,"Drive (left) ","-30.66183375752767"
12140,"Drive (right) ","-36.728069861348466"
12140,"Range Finder ","57.25032"
12241,"DumperJag Current","0.0"
12241,"Climber ","true"
12241,"Tilter ","true"
12241,"Dumper ","true"
12241,"Drive ","true"
12343,"DumperJag Current","0.0"
12343,"Climber position ","0.018711090087890625"
12343,"Tilter angle ","0.001251220703125"
12444,"Drive (left) ","-30.65466521682739"
12444,"Drive (right) ","-37.3133485399882"
12444,"Range Finder ","90.513"
12444,"DumperJag Current","0.0"
12545,"Climber ","true"
12545,"Tilter ","true"
12545,"Dumper ","true"
12545,"Drive ","true"
12545,"DumperJag Current","0.0"
12646,"Climber position ","0.018711090087890625"
12646,"Tilter angle ","0.001251220703125"
12646,"Drive (left) ","-29.92817910410563"
12646,"Drive (right) ","-35.46483730977376"
12646,"Range Finder ","86.02463999999999"
12646,"DumperJag Current","0.0"
12747,"DumperJag Current","0.0"
12747,"Climber ","true"
12747,"Tilter ","true"
12747,"Dumper ","true"
12747,"Drive ","true"
12848,"DumperJag Current","0.0"
12848,"Climber position ","0.018711090087890625"
12848,"Tilter angle ","0.001251220703125"
12848,"Drive (left) ","-29.44541399637858"
12848,"Drive (right) ","-36.12931382598877"
12848,"Range Finder ","143.13935999999998"
12848,"Left Drive setpoint ","-195.23305946473602"
12950,"DumperJag Current","0.0"
12951,"Climber ","true"
12951,"Tilter ","true"
12951,"Dumper ","true"
12951,"Drive ","true"
13050,"DumperJag Current","0.0"
13050,"Climber position ","0.018711090087890625"
13050,"Tilter angle ","0.0"
13050,"Drive (left) ","-36.84158478190104"
13050,"Drive (right) ","-38.596545461781815"
13050,"Range Finder ","65.71176"
13151,"DumperJag Current","0.0"
13151,"Climber ","true"
13151,"Tilter ","true"
13151,"Dumper ","true"
13151,"Drive ","true"
13255,"DumperJag Current","0.0"
13255,"Climber position ","0.018711090087890625"
13255,"Tilter angle ","0.001251220703125"
13255,"Drive (left) ","-41.02367015965779"
13255,"Drive (right) ","-41.158884531148274"
13255,"Range Finder ","129.11831999999998"
13356,"DumperJag Current","0.0"
13356,"Climber ","true"
13356,"Tilter ","true"
13356,"Dumper ","true"
13356,"Drive ","true"
13457,"DumperJag Current","0.0"
13457,"Climber position ","0.018711090087890625"
13457,"Tilter angle ","0.001251220703125"
13457,"Drive (left) ","-38.003669943237306"
13457,"Drive (right) ","-41.4625549196879"
13457,"Range Finder ","116.81939999999999"
13559,"DumperJag Current","0.0"
13559,"Climber ","true"
13559,"Tilter ","true"
13559,"Dumper ","true"
13559,"Drive ","true"
13660,"DumperJag Current","0.0"
13660,"Climber position ","0.018711090087890625"
13761,"Tilter angle ","0.001251220703125"
13761,"Drive (left) ","-39.28260263061523"
13761,"Drive (right) ","-41.165340281931556"
13761,"Range Finder ","108.45288"
13761,"DumperJag Current","0.0"
13862,"Climber ","true"
13862,"Tilter ","true"
13862,"Dumper ","true"
13862,"Drive ","true"
13862,"DumperJag Current","0.0"
13963,"Climber position ","0.018711090087890625"
13963,"Tilter angle ","0.001251220703125"
13963,"Drive (left) ","-38.87498683878581"
13963,"Drive (right) ","-40.259543737284346"
13963,"Range Finder ","99.81516"
13963,"DumperJag Current","0.0"
14064,"DumperJag Current","0.0"
14064,"Climber ","true"
14064,"Tilter ","true"
14064,"Dumper ","true"
14064,"Drive ","true"
14165,"DumperJag Current","0.0"
14165,"Climber position ","0.018711090087890625"
14165,"Tilter angle ","0.001251220703125"
14165,"Drive (left) ","-39.73093810958862"
14165,"Drive (right) ","-38.42312805175781"
14165,"Range Finder ","91.35372"
14266,"DumperJag Current","0.0"
14266,"Climber ","true"
14266,"Tilter ","true"
14266,"Dumper ","true"
14266,"Drive ","true"
14367,"DumperJag Current","0.0"
14367,"Climber position ","0.018711090087890625"
14367,"Tilter angle ","0.001251220703125"
14367,"Drive (left) ","-40.36902576751709"
14367,"Drive (right) ","-39.77512483189901"
14367,"Range Finder ","82.79736"
14468,"DumperJag Current","0.0"
14468,"Climber ","true"
14468,"Tilter ","true"
14468,"Dumper ","true"
14468,"Drive ","true"
14569,"DumperJag Current","0.0"
14569,"Climber position ","0.018711090087890625"
14569,"Tilter angle ","0.001251220703125"
14569,"Drive (left) ","-39.46784359970093"
14569,"Drive (right) ","-41.171802285257975"
14569,"Range Finder ","70.11876000000001"
14670,"DumperJag Current","0.0"
14670,"Climber ","true"
14670,"Tilter ","true"
14670,"Dumper ","true"
14670,"Drive ","true"
14775,"DumperJag Current","0.0"
14775,"Climber position ","0.018711090087890625"
14775,"Tilter angle ","0.001251220703125"
14775,"Drive (left) ","-40.58351300710042"
14775,"Drive (right) ","-39.99755905380248"
14776,"Range Finder ","61.603080000000006"
14876,"DumperJag Current","2.69921875"
14977,"Climber ","true"
14977,"Tilter ","true"
14977,"Dumper ","true"
14977,"Drive ","true"
14977,"DumperJag Current","2.4375"
15079,"Climber position ","0.018711090087890625"
15079,"Tilter angle ","0.001251220703125"
15079,"Drive (left) ","-42.86542239074707"
15079,"Drive (right) ","-39.946791529846195"
15079,"Range Finder ","53.412839999999996"
15079,"DumperJag Current","0.0"
15180,"DumperJag Current","0.0"
15180,"Climber ","true"
15180,"Tilter ","true"
15180,"Dumper ","true"
15180,"Drive ","true"
15281,"DumperJag Current","0.0"
15281,"Climber position ","0.018711090087890625"
15281,"Tilter angle ","0.001251220703125"
15282,"Drive (left) ","-39.65284071960449"
15282,"Drive (right) ","-41.40364033203125"
15282,"Range Finder ","45.38532"
15382,"DumperJag Current","0.0"
15383,"Climber ","true"
15383,"Tilter ","true"
15383,"Dumper ","true"
15383,"Drive ","true"
15485,"DumperJag Current","0.0"
15485,"Climber position ","0.018711090087890625"
15485,"Tilter angle ","0.001251220703125"
15485,"Drive (left) ","-39.35530720214843"
15485,"Drive (right) ","-40.48952477874755"
15485,"Range Finder ","37.0188"
15587,"DumperJag Current","3.09375"
15587,"Climber ","true"
15587,"Tilter ","true"
15587,"Dumper ","true"
15587,"Drive ","true"
15687,"Left Drive setpoint ","-48.808264866184004"
15687,"DumperJag Current","0.0"
15687,"Climber position ","0.018711090087890625"
15687,"Tilter angle ","0.001251220703125"
15687,"Drive (left) ","-19.90618092625936"
15687,"Drive (right) ","-19.782549390920003"
15687,"Range Finder ","35.64924"
15790,"DumperJag Current","0.0"
15790,"Climber ","true"
15790,"Tilter ","true"
15790,"Dumper ","true"
15790,"Drive ","true"
15892,"DumperJag Current","0.0"
15892,"Climber position ","0.018711090087890625"
15892,"Tilter angle ","0.00250244140625"
15892,"Drive (left) ","-13.825707781728108"
15995,"Drive (right) ","-13.318751584625243"
15995,"Range Finder ","29.832"
15995,"DumperJag Current","0.0"
15996,"Climber ","true"
15996,"Tilter ","true"
15996,"Dumper ","true"
15996,"Drive ","true"
16097,"DumperJag Current","0.0"
16199,"Climber position ","0.018711090087890625"
16199,"Tilter angle ","0.00250244140625"
16199,"Drive (left) ","-5.357701042429606"
16199,"Drive (right) ","-7.322640878295898"
16199,"Range Finder ","27.716639999999998"
16199,"DumperJag Current","0.0"
16301,"Climber ","true"
16301,"Tilter ","true"
16301,"Dumper ","true"
16301,"Drive ","true"
16301,"DumperJag Current","0.0"
16401,"Climber position ","0.018711090087890625"
16401,"Tilter angle ","0.001251220703125"
16401,"Drive (left) ","-8.865308961232502"
16401,"Drive (right) ","-8.84557280883789"
16401,"Range Finder ","27.0522"
16401,"DumperJag Current","0.0"
16503,"DumperJag Current","0.0"
16503,"Climber ","true"
16503,"Tilter ","true"
16503,"Dumper ","true"
16503,"Drive ","true"
16604,"DumperJag Current","0.0"
16604,"Climber position ","0.018711090087890625"
16604,"Tilter angle ","0.001251220703125"
16604,"Drive (left) ","-9.458765966288247"
16604,"Drive (right) ","-9.784620377858479"
16604,"Range Finder ","24.01476"
16704,"DumperJag Current","0.0"
